"time","virtualBench_layout_v1.acc_x"
0.030859375,-0.013867261056387789
0.031,0.012263904915105796
0.0310546875,0.023373037256077776
0.0310546875,0.023373037256077776
0.03125,0.033121108027050004
0.03125,0.033121108027050004
0.0314453125,-0.007230773564979365
0.0314453125,-0.007230773564979365
0.031640625,-0.03245938746051348
0.031640625,-0.03245938746051348
0.0318359375,-0.010037838582303123
0.0318359375,-0.010037838582303123
0.032,0.009008118235253972
0.03203125,0.00954598557547938
0.03203125,0.00954598557547938
0.0322265625,-0.00812036015947152
0.0322265625,-0.00812036015947152
0.032421875,-0.024034466738548706
0.032421875,-0.024034466738548706
0.0326171875,-0.0055126311472071254
0.0326171875,-0.0055126311472071254
0.0328125,0.017120889522208416
0.0328125,0.017120889522208416
0.033,0.013032159893293482
0.0330078125,0.012465692697196232
0.0330078125,0.012465692697196232
0.033203125,0.0015571433988718977
0.033203125,0.0015571433988718977
0.0333984375,0.00792175532849547
0.0333984375,0.00792175532849547
0.03359375,0.013444902577861087
0.03359375,0.013444902577861087
0.0337890625,0.0016131473887289194
0.0337890625,0.0016131473887289194
0.033984375,-0.008416984940263661
0.033984375,-0.008416984940263661
0.034,-0.008493136593875558
0.0341796875,-0.003883938498426151
0.0341796875,-0.003883938498426151
0.034375,-0.003274245574892573
0.034375,-0.003274245574892573
0.0345703125,-0.013941394041715911
0.0345703125,-0.013941394041715911
0.034765625,-0.014028490486266587
0.034765625,-0.014028490486266587
0.0349609375,0.0021818244817516375
0.0349609375,0.0021818244817516375
0.035,0.005194972268285136
0.03515625,0.00930377929275944
0.03515625,0.00930377929275944
0.0353515625,-5.716920104292811e-4
0.0353515625,-5.716920104292811e-4
0.035546875,-0.0019603336035172447
0.035546875,-0.0019603336035172447
0.0357421875,0.012967126536222964
0.0357421875,0.012967126536222964
0.0359375,0.016909062571120556
0.0359375,0.016909062571120556
0.036,0.012854481474287749
0.0361328125,-1.6863164127374486e-4
0.0361328125,-1.6863164127374486e-4
0.036328125,-0.010670723827300874
0.036328125,-0.010670723827300874
0.0365234375,-0.0013226129635391243
0.0365234375,-0.0013226129635391243
0.03671875,0.0038786272954034473
0.03671875,0.0038786272954034473
0.0369140625,-0.008213114240069236
0.0369140625,-0.008213114240069236
0.037,-0.013646907417106252
0.037109375,-0.015491960538866076
0.037109375,-0.015491960538866076
0.0373046875,-0.00407163705055158
0.0373046875,-0.00407163705055158
0.0375,0.006932002151848207
0.0375,0.006932002151848207
0.0376953125,0.0030510726136974836
0.0376953125,0.0030510726136974836
0.037890625,-0.0013242735612051248
0.037890625,-0.0013242735612051248
0.038,0.0014452821178378705
0.0380859375,0.005288653076329364
0.0380859375,0.005288653076329364
0.03828125,0.01034155893842173
0.03828125,0.01034155893842173
0.0384765625,0.004319184202238438
0.0384765625,0.004319184202238438
0.038671875,-0.0020813161018653353
0.038671875,-0.0020813161018653353
0.0388671875,-0.0013506772841433146
0.0388671875,-0.0013506772841433146
0.039,-8.650595009682543e-4
0.0390625,-0.0015870460742358206
0.0390625,-0.0015870460742358206
0.0392578125,-0.006185415238788641
0.0392578125,-0.006185415238788641
0.039453125,-0.006754052507779051
0.039453125,-0.006754052507779051
0.0396484375,-0.0020367357316820878
0.0396484375,-0.0020367357316820878
0.03984375,-4.784716997768279e-4
0.03984375,-4.784716997768279e-4
0.04,-0.0017718886572986592
0.0400390625,-0.0018392944181037374
0.0400390625,-0.0018392944181037374
0.040234375,0.0017525895368607214
