"time","acc_x"
0.133,-0.013658747358841428
0.134,9.784486221070532e-4
0.135,3.334890719721706e-4
0.136,-0.006370713295938413
0.137,0.007139732918092834
0.138,-0.008743195111925062
0.139,0.013784837567685782
0.14,-0.01292732728015572
0.141,0.016096846592792313
0.142,-0.015538209247248191
0.143,0.011969113988042235
0.144,-5.40607278641192e-4
0.145,-0.013318602316818251
0.146,0.01436018314006221
0.147,-0.009326349525658806
0.148,0.007380631916811264
0.149,-0.01204598888749453
0.15,0.013882066574753493
0.151,-0.010914427922316339
0.152,0.010092704355029236
0.153,-0.00702133507346786
0.154,0.0035851776779693423
0.155,-0.0022786276919271042
0.156,-0.001162174926915449
0.157,0.00858087989727696
0.158,-0.015320467968888862
0.159,0.008385679339973195
0.16,0.0012208941570404086
0.161,-0.005062343689593296
0.162,0.007975058495787113
0.163,-0.008814983763806628
0.164,0.005859684037208046
0.165,-0.0029831939487778847
0.166,-1.3953528641436064e-4
0.167,2.4381770199294328e-4
0.168,1.4235711913113125e-5
0.169,-7.173817895619328e-4
0.17,-8.829283370042074e-4
0.171,-3.4333432390892815e-4
0.172,4.95762975152414e-4
0.173,3.85577976949103e-4
0.174,1.9242265124624902e-4
0.175,7.765032272288863e-5
0.176,1.6466699284511943e-5
0.177,-1.5167485442446615e-5
0.178,-1.3886864130507881e-5
0.179,-1.8598350789988949e-6
0.18,-2.25375351632362e-5
0.181,5.0409787113514515e-5
0.182,-5.7503476225850836e-5
0.183,-4.3809079933287975e-5
0.184,-5.113219350122433e-5
0.185,-6.255560390283632e-5
0.186,2.9788522745877177e-5
0.187,1.3233969440318294e-4
0.188,-5.345427161304594e-4
0.189,2.4022494815706397e-4
0.19,-7.36512115487864e-5
0.191,-2.2360209733313097e-4
0.192,2.971922114895498e-4
0.193,-3.811590229330086e-5
0.194,-2.6945740888772995e-4
0.195,2.5626069210982205e-4
0.196,2.569078725089824e-5
0.197,-2.7192331463532504e-5
0.198,-3.1886596726371508e-6
0.199,-4.927222075234994e-6
